編號,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
1-27,頭那毛,teuˋ naˋ hmˇ,頭髮,剃頭那毛,理頭髮。,,名詞,,1人體與醫療
1-28,額頭,ngiaˊ teuˋ,額頭,,,,名詞,,1人體與醫療
1-29,目眉,hmˊ niˋ,眉毛,,,,名詞,,1人體與醫療
1-30,目珠,mudˊ zhiˇ,眼睛,老啊！目珠花花,老了！眼睛濛濛的。,,名詞,,1人體與醫療
1-31,目汁,hmˊ zhibˊ,眼淚,講佢兩句，即目汁直直流,說他兩句，就一直掉眼淚。,,名詞,,1人體與醫療
1-32,鼻,pinn,鼻子,鼻塞塞,鼻子塞住。,,名詞,,1人體與醫療
1-33,耳子,ngi^ zu^,耳朵,佢耳子無利，你講事愛較大聲兜,他耳朵重聽，你講話要大聲一點。,,名詞,,1人體與醫療
1-34,嘴,zhe^,嘴巴,"佢个嘴真大，會用一口食半碗飯
佢食墨斗魚，食到嘴烏烏","他的嘴巴很大，可以一口吃半碗飯。
他吃烏賊，吃到嘴巴黑黑的。",,名詞,,1人體與醫療
1-35,牙,ngaˋ,牙齒,"牙疾，愛去得先生䀴
嬰仔正發牙。","牙齒痛，要去給醫生看。
嬰兒剛長牙齒。",,名詞,,1人體與醫療
1-36,舌,sheedˋ,舌頭,"緊張到舌打結
好食到舌攏會吞落去","緊張到舌頭打結。
好吃到快把舌頭吞下去。",,名詞,,1人體與醫療
1-37,口涎水,keu^ lanˇ fi^,口水,口涎水溚溚汀,口水一直滴。,,名詞,,1人體與醫療
1-38,面,mien^,臉,晨早起來愛洗牙洗面,早上起床要刷牙洗臉。,,名詞,,1人體與醫療
1-39,頸,giang^,脖子,這禮拜逐日加班，感覺頸硬硬,這星期每天加班，感覺脖子僵硬。,,名詞,,1人體與醫療
1-40,肩頭,geenˇ teuˋ,肩膀,感覺肩頭硬硬个款,覺得肩膀緊繃的樣子。,,名詞,,1人體與醫療
1-41,背脊骿,bue^ ziaˊ piangˇ,背部,爪背脊骿,抓背。,,名詞,,1人體與醫療
1-42,手,shiu^,手,阿怙牽着𠊎个手,爸爸牽著我的手。,,名詞,,1人體與醫療
1-43,手指頭,shiu^ zhi^ teuˋ,手指,阿嫂手指頭得刀切着，直直流血,嫂嫂手指被刀子切到，一直流血。,,名詞,,1人體與醫療
1-44,食肚,shidˋ du^,肚子,食着無淨俐个物件，食肚疾直直走便所,吃到不乾淨的食物，肚子痛一直跑廁所。,,名詞,,1人體與醫療
1-45,腹臍,buˊ ciˋ,肚臍,,,,名詞,,1人體與醫療
1-46,屎朏,shi^ fudˊ,屁股,日頭炙屎朏，好起來啊！,太陽晒屁股，該起來了。,,名詞,,1人體與醫療
1-47,腳,giooˊ,腳,洗膴身遐下腳愛洗淨俐。,"洗澡時腳要洗乾淨。
",,名詞,數/量詞,1人體與醫療
1-48,腳指頭,giooˊ zhi^ teuˋ,腳趾,,,,名詞,,1人體與醫療
1-49,身體,shinˇ te^,身體,阿依企傷久，身體拄毋會核啊！,媽媽站太久，身體撐不住。,,名詞,,1人體與醫療
1-50,心肝,simˇ gonˇ,心臟,佢驚到心肝直跳,他嚇得心跳加速。,,名詞,,1人體與醫療
1-51,腸,chongˋ,腸子,,,,名詞,,1人體與醫療
1-52,骨頭,gudˊ teuˋ,骨頭,佢跌倒，骨頭斷去,他跌倒，骨頭斷了。,,名詞,,1人體與醫療
1-53,人,nginˋ,人,厥屋下有五個人,他家有五個人,,名詞,,1人體與醫療
2-1,飽,bau^,飽,食飽夜來去散步好無？,吃完晚餐後去散步好嗎？,,形容詞,,2心理活動與感覺
2-2,拚,biang^,賣力、拼,肯拚即會出頭天,肯打拼就會出頭天。,,動詞,,2心理活動與感覺
2-3,發夢,budˊ mong,做夢,昨暗夜發夢疶尿，真見笑,昨天晚上做夢尿床，很丟臉。,,動詞,,2心理活動與感覺
2-4,插,cabˊ ,插；理會,"花盎插一蕊花
停動着即受氣，莫插佢！","花瓶插著一朵花。
動不動就生氣，不要理他！",,動詞,,2心理活動與感覺
2-5,感覺,gam^ gooˊ,認為、覺得,𠊎感覺這個麵包真好食,我覺得這個麵包很好吃。,,動詞,,2心理活動與感覺
2-6,著驚,choo giangˇ,受驚嚇,佢喊恁大聲，害𠊎著驚,他喊那麼大聲，害我受驚。,,動詞,,2心理活動與感覺
2-7,知,diˇ,知道,後禮拜愛考試，你知無？,下星期要考試，你知道嗎？,,動詞,,2心理活動與感覺
2-8,起性地,ki^ sin^ ti,發怒,佢自家走出去尞歸日，阿依起性地啊！,他自己出去玩一天，媽媽生氣了！,,動詞,,2心理活動與感覺
2-9,歡喜,fanˇ hi^,歡喜,買個等路送佢，得佢歡喜一下,買個伴手禮送他，讓他高興一下。,,名詞,,2心理活動與感覺
2-10,安心,onˇ simˇ,放心,心肝底毋會安心,心裡不放心。,,形容詞,,2心理活動與感覺
2-11,敢,gam^,敢；有膽量、不畏懼,"暗夜時自家去便所，敢抑毋敢？
佢遐支嘴真敢講","晚上自己去廁所，敢不敢？
他那張嘴很敢講。",,動詞,形容詞,2心理活動與感覺
2-12,感覺,gam^ gooˊ,感覺,"你講佢怪怪？𠊎即感覺毋會出。
轉寒啊！你無感覺係無？","你說他怪怪的？我可感覺不出來。
變冷了！你不覺得嗎？",,動詞,,2心理活動與感覺
2-13,記得,ki^ dedˊ,記得,恁久無來，你猶記得路無？,這麼久沒來，你還記得路嗎？,,動詞,,2心理活動與感覺
2-14,紀念,gi^ neem ,紀念,這物件真有紀念價值。,這東西很有紀念價值。,,動詞,,2心理活動與感覺
2-15,驚,giangˇ,害怕,佢真驚蛇,他很怕蛇。,,動詞,,2心理活動與感覺
2-16,見笑,gien^ sioo^,不好意思；慚愧,"佢滿哪位借錢，感覺真見笑
得先生罵猶直直笑，毋知見笑。","他到處借錢，覺得很不好意思。
被老師罵還一直笑，不知羞恥。",,動詞,,2心理活動與感覺
2-17,緊張,gin^ zhongˇ,緊張,"毋使恁緊張。
緊張到舌打結","不用那麼緊張。
緊張到舌頭打結。",,副詞,,2心理活動與感覺
2-18,愛,oi^,喜好、喜歡,阿公頭愛食腹內,祖父最喜歡吃內臟。,,動詞,,2心理活動與感覺
2-19,恨,hin,恨,這種無責無任个人，你恨佢嘛無效！,這種毫無責任感的人，你恨他也沒用！,,動詞,,2心理活動與感覺
2-20,福氣（幸福）,fuˊ ki^ (hen fuˊ),幸福,佢過到真福氣个日。,他過著很幸福的日子。,,形容詞,,2心理活動與感覺
2-21,肯,ken^,肯、願意,這擺旅行，你阿依肯得你去無？,這次旅行，你媽肯讓你去嗎？,,動詞,,2心理活動與感覺
2-22,希望,hiˇ mong,希望,"新年新希望
希望你尋着好頭路","新年新希望。
希望你找到好工作。",,動詞,,2心理活動與感覺
2-23,興趣,hin^ ci^,興趣,佢對數學真有興趣,他對數學很有興趣。,,名詞,,2心理活動與感覺
2-24,精神,zinˇ shinˋ,精神,"䀴起來真有精神
歸暗無睡，佢精神足無好","看起來很有精神。
整晚沒睡，他精神很不好。",,形容詞,名詞,2心理活動與感覺
2-25,輕鬆,kiangˇ sungˇ,輕鬆,佢个頭路真輕鬆,他的工作很輕鬆。,,形容詞,,2心理活動與感覺
2-26,氣,ki^,生氣,"阿弟毋聽事，阿依真氣
佢面臭臭，毋知在氣麼个？","弟弟不聽話，媽媽很生氣。
他的臉色不好，不知道在生氣什麼？",,形容詞,動詞,2心理活動與感覺
2-27,確定,kooˊ ten,明確而肯定,你愛先確定正拁𠊎講,你要先確定再跟我說。,,動詞,,2心理活動與感覺
2-28,散,san^,窮苦,佢个屋下真散,他的家裡很貧窮。,,形容詞,,2心理活動與感覺
2-29,快樂,kuai^ loo,快樂,"快樂過日
逐日攏真快樂","快樂過日子。
每天都很快樂。",,形容詞,,2心理活動與感覺
2-30,理想,li^ siong^,理想,"佢有真高个人生理想
佢這擺个成績無理想","他有很遠大的人生理想。
他這次的成績不理想。",,名詞,形容詞,2心理活動與感覺
2-31,毋記得（添放）,mˋ ki^ dedˊ (teemˇ piong),不記得、忘記,壞啊！𠊎个錢毋記得抸！,糟了！我的錢忘記帶了！,,動詞,,2心理活動與感覺
2-32,毋肯,mˋ ken^,不肯,阿媽毋肯得𠊎直直食糖，驚牙齒會蛀去,祖母不肯讓我一直吃糖果，怕會蛀牙。,,動詞,,2心理活動與感覺
2-33,無要緊,moˋ rhioo^ gin^,不要緊、沒關係,這擺無考好無要緊啦，後擺加油即好,這次沒考好不要緊啦，下次加油就好。,,副詞,,2心理活動與感覺
2-34,毋識,mˇ shidˊ,不認得；不曾,"十外年正見一擺，這下佢毋識你啊。
食恁緊做麼个？毋識食過係無？","十多年才見一次，現在他都不認得你了。
吃這麼快幹麼？不曾吃過嗎？",,動詞,副詞,2心理活動與感覺
2-35,毋知,mˇ diˇ,不知道,逐擺攏按，賞到毋知好轉,每次都這樣，玩到不知道回家。,,動詞,,2心理活動與感覺
2-36,無愛,moˋ oi^,不要,佢恁粗魯，無愛佮佢尞較好,他那麼粗魯，不要跟他玩比較好。,,動詞,,2心理活動與感覺
2-37,慼,ciedˊ,討厭,佢足慼黃蚻，尤其係會飛个,他非常討厭蟑螂，尤其是會飛的。,,動詞,,2心理活動與感覺
2-38,忍,ngunˇ,忍,你即愛忍落來,你可要忍住。,,動詞,,2心理活動與感覺
2-39,餓,ngo ,餓,"即算日子苦，嘛毋會得你餓着
兩三日無食物件，佢即餓死","就算日子苦，也不會讓你挨餓。
兩三天沒吃東西，他就餓死。",,動詞,,2心理活動與感覺
2-40,愛,oi^,要；喜歡、愛,正頓愛食飽，莫直直食點心。,正餐要吃飽，不要一直吃點心。,,動詞,,2心理活動與感覺
2-41,安心,onˇ simˇ,安心,"佢得地動嚇着，無法度安心睡
時間猶罅，你做你安心食","他被地震嚇到，沒辦法安心睡覺。
時間還夠，你儘管安心吃。",,動詞,,2心理活動與感覺
2-42,否勢（歹勢）,painn^ she^,不好意思；對不起（表歉意）,"否勢（歹勢）！借過一下！
正經真否勢（歹勢）。","不好意思！借過一下！
真的很對不起。",,形容詞,,2心理活動與感覺
2-43,平安,pinˋ onˇ,平安,姨丈去廟拁屋下人求平安,姨丈去廟裡替家人祈求平安。,,形容詞,名詞,2心理活動與感覺
2-44,擘心,baˊ simˇ,憂愁、擔心,佢一儕去臺北打拚，厥依真擘心,他一個人去臺北打拼，他媽媽很擔心。,,動詞,,2心理活動與感覺
2-45,識,shidˊ,認得；曾經,"無人識
䀴毋識
表阿哥識去過日本尞
目珠擘大嫲粒，毋識䀴過係無？","沒人認得
看不懂。
表哥曾經去日本玩過。
眼睛睜那麼大，沒有看過嗎？",,動詞,副詞,2心理活動與感覺
2-46,失望,shidˊ mong,失望,爺哀對佢真失望,父母對他很失望。,,形容詞,,2心理活動與感覺
2-47,爽快,song^ kuai^,爽、舒適,"心情真爽快
坐火車坐到真爽快","心情很爽。
坐火車坐得很舒適",,形容詞,,2心理活動與感覺
2-48,傷心,shongˇ simˇ,傷心,狗死去，阿古唩到足傷心,狗死了，阿古哭得非常傷心。,,動詞,,2心理活動與感覺
2-49,貪,tamˇ,貪心,佢這個人真貪，䀴着麼个攏想討愛,他這個人很貪心，看到什麼都想要。,,形容詞,,2心理活動與感覺
2-50,悿,tiam^,累,這駁子攔事，加班真悿,這陣子趕工作，加班很累。,,形容詞,,2心理活動與感覺
2-51,暢,tiunn^ (tiung^),高興,阿妹考一百分，暢到拄毋會核,妹妹考一百分，開心得不得了。,,形容詞,,2心理活動與感覺
2-52,臆,rhiooˊ,推測、猜測,"得你臆到準準
臆䀴望啊！䀴臆會着無？","被你猜得很準。
猜看看！看猜得到嗎？",,動詞,,2心理活動與感覺
2-53,心肝內,simˇgonˇnui,心中,阿姊討嫁，阿依心肝內感覺真毋盼,姊姊要嫁人，媽媽心裡感到很捨不得。,,副詞,,2心理活動與感覺
2-54,信心,sin^ simˇ,信心,愛對自家有信心,要對自己有信心。,,名詞,,2心理活動與感覺
2-55,想,siong,想,你想清楚，正拁𠊎講,你想清楚，再跟我講。,,動詞,,2心理活動與感覺
2-56,想討,siong too^,想要,𠊎討去市場，你有想討買麼个無？,我要去市場，你有想買什麼嗎？,,動詞,,2心理活動與感覺
2-57,相信,siongˇ sin^,相信,大家愛相信佢,大家要相信他。,,動詞,,2心理活動與感覺
2-58,佮意,gaˊ rhi^,喜歡,𠊎真佮意遐個尪仔,我很喜歡那個人偶。,,動詞,,2心理活動與感覺
3-1,送,sung^,送,"這係人送个，毋係自家買个
阿爸送佢一臺鐵馬","這是別人送的，不是自己買的。
爸爸送他一輛自行車。",,動詞,,3外在活動與動作
3-2,𢱤,suˊ,推,"自家个頭路，莫𢱤得別儕做
車毋會停動，你落來𢱤車","自己的工作，不要推給別人做。
車子不會動，你下來推車子。",,動詞,,3外在活動與動作
3-3,背,baˋ,背；負荷；將衣服套在身上,背細子去散步,背小孩去散步。,,動詞,,3外在活動與動作
3-4,飛,buiˇ,飛翔,鳥子飛入屋，攔毋會出去,鳥飛進房子裡，趕不出去。,,動詞,,3外在活動與動作
3-5,放,biong^,解脫約束,"這張圖片放擱較大一兜
放佢自家去做","這張圖片放大一點。
由他自己去做。",,動詞,,3外在活動與動作
3-6,囥,kong^,放置,錢囥在桌崠，你自家提,錢放在桌上，你自己拿。,,動詞,,3外在活動與動作
3-7,扯,cha^,撕；撕破,"拁這個紙箱扯開
簿子得阿弟扯爛爛","把這個紙箱撕開來。
簿子被弟弟撕爛。",,動詞,,3外在活動與動作
3-8,鑢,li^,刷洗,用筅仔來鑢布鞋,用刷子刷布鞋。,,動詞,,3外在活動與動作
3-9,坐,cooˇ,坐,"來啊！坐落來食飯
坐愛有坐个樣","來啊！坐下吃飯。
坐要有坐相。",,動詞,,3外在活動與動作
3-10,碰着,bong choo,撞到,得車碰着，好得人無仰子,被車子撞到，還好人沒怎樣。,,動詞,,3外在活動與動作
3-11,捽,cudˋ,擦拭,拁作業簿捽得佢淨俐,把作業簿擦乾淨。,,動詞,,3外在活動與動作
3-12,出去,chidˊ kui^,出去,"一行出去即毋記得啊！
日頭恁猛，毋好出去炙日頭","剛走出去就忘記了！
陽光正烈，不要出去晒太陽。",,動詞,,3外在活動與動作
3-13,出來,chidˊ loiˋ,出來,"衫恁短，腹臍走出來啊
文章猶寫毋會出來","衣服那麼短，肚臍露出來了。
文章還寫不出來。",,動詞,,3外在活動與動作
3-14,出入,chidˊ ngibˋ,出入,"車多，出入愛注意
錢銀出入愛記清楚","車子多，出入要注意。
錢的收支要記清楚。",,動詞,,3外在活動與動作
3-15,伸,chinˇ,伸展,手伸較長兜,手伸長一點。,,動詞,,3外在活動與動作
3-16,伸手,chinˇ shiu^,伸手,佢伸手拁人討錢。,他伸手向人要錢。,,動詞,,3外在活動與動作
3-17,打,da^,打,打球。,打球。,,動詞,,3外在活動與動作
3-18,屙屁,ooˇ pi^,放屁,佢食番薯，直直屙屁,他吃地瓜，一直放屁。,,動詞,,3外在活動與動作
3-19,打開,da^ koiˇ,打開,拁這包餅打開來食,把這包餅乾打開來吃。,,動詞,,3外在活動與動作
3-20,隨（抸）,suiˋ (zabˊ),帶,"記得愛隨等路轉來
皮包添放隨着","記得要帶伴手禮回來。
皮包忘記帶了。",,動詞,,3外在活動與動作
3-21,遮,zhaˇ,遮蔽,"用笠婆遮个，較毋會炙着
這帽得你遮日頭","用斗笠遮著，比較不會晒到。
這帽子給你遮陽光。",,動詞,,3外在活動與動作
3-22,擊,gidˋ,丟,"擊球愛細義。
拚掃房間，麼个都擊淨淨","丟球要小心。
打掃房間，什麼都丟光。",,動詞,,3外在活動與動作
3-23,等,den^,等,你在這等𠊎一下,你在這裡等我一下。,,動詞,,3外在活動與動作
3-24,等下（等一下）,den^ ha (den^ rhidˊ ha),等一下,會用等下無？,可以等一下嗎？,,動詞,短語,3外在活動與動作
3-25,捧,pungˋ,端、捧,捧人飯碗無恁簡單。,為別人工作不是簡單事。,,動詞,,3外在活動與動作
3-26,跌倒,deedˊ doo^,跌倒,行路愛細義，若無會跌倒,走路要小心，不然會跌倒。,,動詞,,3外在活動與動作
3-27,擋,dong^,擋住,莫擋著人䀴電視啦！,不要擋住別人看電視！,,動詞,,3外在活動與動作
3-28,揞,emˇ,蒙住（常用於蒙住身體部位）,"你直直咳嗽，愛記得揞嘴
佢感覺見笑，拁面揞个","你一直咳嗽，要記得蒙住嘴巴。
他覺得丟臉，把臉蒙住。",,動詞,,3外在活動與動作
3-29,發明,fadˊ menˋ,發明,愛迪生發明電火,愛迪生發明電燈。,,動詞,,3外在活動與動作
3-30,分,funˇ,分開、分辨,佢兩儕真相像，連同學都分毋會出來,他們兩人很像，連同學都分不出來。,,動詞,數/量詞,3外在活動與動作
3-31,攪,gioo,攪拌、拌和,"攪紅泥
佢食麵定著愛攪辣醬","攪拌水泥。
他吃麵一定要拌辣椒醬",,動詞,,3外在活動與動作
3-32,交,gauˇ,繳交,後禮拜一愛記得交作業,下星期一要記得交作業。,,動詞,,3外在活動與動作
3-33,弇,kem^,蓋上、蓋起來（動詞）,"鑊蓋弇起來，熻一下
恁多烏蠅，較緊拁桌崠个蓮霧弇个","鍋蓋蓋起來，燜煮一下。
這麼多蒼蠅，快把桌上的蓮霧蓋起來。",,動詞,,3外在活動與動作
3-34,唩,bboo^,哭、哭泣,佢心肝內艱難，在房間內底唩到無聲,他心裡難受，在房裡泣不成聲。,,動詞,,3外在活動與動作
3-35,根據,gunˇ gi^,根據,"根據政府个公告，韶日歇睏
莫講這無根據个事情","根據政府的公告，明天放假。
別說這種沒有根據的事情。",,動詞,,3外在活動與動作
3-36,躐（捎）,liabˋ (sauˇ),追趕,"雞得狗躐到直直飛。
時間猶吂到即直直躐，緊張麼个？","雞被狗追到一直飛。
時間還沒到就一直趕，緊張什麼？",,動詞,,3外在活動與動作
3-37,過去, goo^ kui^,過去,"直直行過去即到位佢个屋下啊！
手婆即搧過去","直直走過去就到他家了！
一巴掌打過去。",,動詞,,3外在活動與動作
3-38,過來, goo^ loiˋ,過來,"慢慢子行過來，毋好用走个
拁遐張凳徙過來囥","慢慢走過來，不要用跑的。
把那張椅子移過來放。",,動詞,,3外在活動與動作
3-39,割,godˊ,割,"得刀割着
割豬肉","被刀子割到。
買豬肉。",,動詞,,3外在活動與動作
3-40,,,,,,,,,
3-41,講,gong^,講、說,"你在講麼个？𠊎攏聽毋識！
你會講客事無？","你在說什麼？我完全聽不懂。
你會講客語嗎？",,動詞,,3外在活動與動作
3-42,講事,gong^ su (gong^ si),說話,毋好烏白講事。,不要亂講話。,,動詞,,3外在活動與動作
3-43,扛,gongˇ,抬,你兩儕，拁這個桶扛出去,你們兩個，把這個桶子抬出去。,,動詞,,3外在活動與動作
3-44,跍,guˋ,蹲,"跍个洗衫真辛苦
跍恁久，腳麻痺去啊！","蹲著洗衣服很辛苦。
蹲那麼久，腳麻掉了！",,動詞,,3外在活動與動作
3-45,關,guanˇ,關,外頭蚊恁多，門愛關好,外面蚊子那麼多，門要關好。,,動詞,,3外在活動與動作
3-46,落來,loo loiˋ,下來,"地動真搖，圍牆倒落來
麼个物件跌落來？恁大聲！","地震搖得很厲害，圍牆倒下來。
什麼東西掉下來？那麼大聲。",,動詞,,3外在活動與動作
3-47,落去,loo kui^,下去,"企較後背兜，無會跌落去
這有一個空佢無䀴着，腳即塌落去","站後面一點，不然會跌下去。
這有個洞他沒看到，腳就陷下去。",,動詞,,3外在活動與動作
3-48,行,hangˋ,行走,"若行若䀴
行來行去","邊走邊看。
走來走去。",,動詞,,3外在活動與動作
3-49,行路,hangˋ lu,走路,阿弟逐日行路去讀書,弟弟每天走路去上學。,,動詞,,3外在活動與動作
3-50,喊,heem^,叫,食飽啊！喊阿哥落來洗碗,吃飽了！叫哥哥下來洗碗。,,動詞,,3外在活動與動作
3-51,去,kui^,去,"佢擱走去哪位？
阿哥逐禮拜去圖書館讀書","他又跑去哪裡？
哥哥每星期去圖書館讀書。",,動詞,,3外在活動與動作
3-52,起來,ki^ loiˋ,起來,"䀴着垃圾，愛撿起來
你毋係愛睡？仰子擱跋起來？","看到垃圾，要撿起來。
你不是要睡覺？怎麼又爬起來？",,動詞,,3外在活動與動作
3-53,挾,giabˊ,挾取,阿依挾菜得阿弟食,媽媽挾菜給弟弟吃。,,動詞,,3外在活動與動作
3-54,歇睏,hiedˊ kun^,休息,當晝愛歇睏一點鐘,中午要休息一小時。,,動詞,,3外在活動與動作
3-55,供,giungˇ,畜養,"供狗
𠊎毋敢供魚，驚供毋會活","養狗。
我不敢養魚，怕養不活。",,動詞,,3外在活動與動作
3-56,跋,baˊ,起身、起來,先生喊你，你即愛跋起來,老師喊你，你就要站起來。,,動詞,,3外在活動與動作
3-57,舀,rhioo^,舀,"舀一杓水來，𠊎討沃菜
若講討食，即愛自家舀","舀一杓水來，我要澆菜。
如果要吃，就要自己舀。",,動詞,,3外在活動與動作
3-58,有,rhiuˇ,有,"佢屋下有四個人
豬有四支腳
有食着即好","他家有四個人。
豬有四隻腳。
有吃到就好。",,動詞,,3外在活動與動作
3-59,用,rhung,使用、利用,阿太猶毋會曉用手機,曾祖父(母)還不會用手機。,,動詞,,3外在活動與動作
3-60,接,ziabˊ,接,"電話響啊！你去接一下好無？
你有閒無？敢會用拁𠊎接細子？","電話響了！你去接一下好嗎？
你有空嗎？可以幫我接小孩嗎？",,動詞,,3外在活動與動作
3-61,浸,zim^,浸泡,衫褲先浸个，韶晨早正洗,衣服先浸泡，明天早上再洗。,,動詞,,3外在活動與動作
3-62,㧡,kainnˇ,以肩擔、挑,㧡菜去市場賣,挑菜去市場賣。,,動詞,,3外在活動與動作
3-63,搉,kooˊ,敲,搉麼个物件？搉到恁大聲。,敲什麼東西？敲得那麼大聲。,,動詞,,3外在活動與動作
3-64,企,kiˇ,站,企在這等，𠊎等下來載你,站在這裡等，我等一下來載你。,,動詞,,3外在活動與動作
3-65,擎,kiaˋ,舉；拿（傘、筆）,"擎手
擎筆
擎钁頭","舉手。
拿筆。
拿鋤頭。",,動詞,,3外在活動與動作
3-66,牽,kienˇ,牽,"渡細子過車路，手愛牽个
牽手","帶小孩子過大馬路，手要牽好。
牽手。",,動詞,,3外在活動與動作
3-67,開,koiˇ,開,門開个，毋驚賊入來係無？,門開著，不怕小偷進來嗎？,,動詞,,3外在活動與動作
3-68,䀴,ngiang^,看；探望,"否勢！𠊎䀴毋著啊！你寫个正著
破病愛得先生䀴
去病院䀴佢","抱歉！我看錯了！你寫的才對。
生病要看醫生。
去醫院探望他。",,動詞,,3外在活動與動作
3-69,藏,cang^,藏匿,怪奇，藏到哪位去？尋恁久猶尋毋會着。,奇怪，藏到哪裡了？找那麼久還是找不到。,,動詞,,3外在活動與動作
3-70,擐,kuan,提,"擐皮包
這恁重，麼儕擐會贏","提皮包。
這那麼重，誰提得動。",,動詞,,3外在活動與動作
3-71,跪,kui,跪下,"佢跪在泥下直直唩
佢跪落來請大家原諒","他跪在地上一直哭。
他跪下來請求大家原諒。",,動詞,,3外在活動與動作
3-72,揪,kiu^,拉,"𠊎企毋會起來，你來揪𠊎一下
頭家請人來揪生理","我站不起來，你來拉我一下。
老闆請人來招攬生意。",,動詞,,3外在活動與動作
3-73,撈,leuˇ,撈,"拁水餃撈起來囥盤內底
去夜市撈魚","把水餃撈起來放盤子裡。
去夜市撈魚。",,動詞,,3外在活動與動作
3-74,利用,li rhung ,利用,"愛好好利用時間讀書
佢得人利用猶毋知，真戇","要好好利用時間讀書。
他被人利用了還不知道，真笨。",,動詞,,3外在活動與動作
3-75,啉,limˇ,喝,有啉酒个人，毋會用駛車。,有喝酒的人，不可以開車。,,動詞,,3外在活動與動作
3-76,流,lauˋ,流,天氣轉寒，直直流濞,天氣變冷，一直流鼻涕。,,動詞,,3外在活動與動作
3-77,落,loo,落下,"天氣變化真大，今年落雹啊！
阿媽去菜園落肥","天氣變化很大，今年下冰雹了。
祖母去菜園施肥。",,動詞,,3外在活動與動作
3-78,入去,ngibˋ kui^,進去,"便所有人，你毋會用入去。
跌入去。
囥入去。","廁所有人，你不能進去。
跌進去。
放進去。",,動詞,,3外在活動與動作
