編號,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
1-34,嘴,zhoiˋ,嘴巴,"厥嘴當大，使得一口食半碗飯
佢食墨斗魚，食都嘴烏烏","他的嘴巴很大，可以一口吃半碗飯。
他吃烏賊，吃到嘴巴黑黑的。",,名詞,,1人體與醫療
1-35,牙齒,ngaˇ chi^,牙齒,"牙齒疾，愛去分先生看
嬰兒正生牙齒","牙齒痛，要去給醫生看。
嬰兒剛長牙齒。",,名詞,,1人體與醫療
1-36,舌嫲,shedˋ maˇ,舌頭,"緊張去舌嫲打結
好食都舌嫲都會吞落去","緊張到舌頭打結。
好吃到快把舌頭吞下去。",,名詞,,1人體與醫療
1-37,口涎（口涎水）,heu^ lan+ (heu^ lan+ shui^),口水,口涎水溚溚跌,口水一直滴。,,名詞,,1人體與醫療
1-38,面,mienˋ,臉,朝晨（朝脣）䟘起來愛洗嘴洗面,早上起床要刷牙洗臉。,,名詞,,1人體與醫療
1-39,頸根,giang^ gin+,脖子,這禮拜逐日加班，感覺頸根硬硬,這星期每天加班，感覺脖子僵硬。,,名詞,,1人體與醫療
1-40,肩頭,gien+   teuˇ,肩膀,試着肩頭硬硬个樣,覺得肩膀緊繃的樣子。,,名詞,,1人體與醫療
1-41,背囊,boiˋ nongˇ,背部,爪背囊,抓背。,,名詞,,1人體與醫療
1-42,手,shiu^,手,阿爸牽核吾个手,爸爸牽著我的手。,,名詞,,1人體與醫療
1-43,手指,shiu^ zhi^,手指,阿嫂手指分刀切着，緊出血,嫂嫂手指被刀子切到，一直流血。,,名詞,,1人體與醫療
1-44,肚屎,du^ shi^,肚子,食着無淨俐个東西，肚屎疾緊走便所,吃到不乾淨的食物，肚子痛一直跑廁所。,,名詞,,1人體與醫療
1-45,肚臍,du^ ciˇ,肚臍,,,,名詞,,1人體與醫療
1-46,屎朏,shiˋ vud^,屁股,日頭晒屎朏，好䟘咧,太陽晒屁股，該起來了。,,名詞,,1人體與醫療
1-47,腳,giog^,腳,洗身該下腳愛洗淨,洗澡時腳要洗乾淨。,,名詞,數/量詞,1人體與醫療
1-48,腳趾,giog^ zhi^,腳趾,,,,名詞,,1人體與醫療
1-49,身體,shin+ ti^,身體,阿姆企忒久，身體佇毋著,媽媽站太久，身體撐不住。,,名詞,,1人體與醫療
1-50,心肝,sim+ gon+,心臟,佢嚇都心肝緊跳,他嚇得心跳加速。,,名詞,,1人體與醫療
1-51,腸,chongˇ,腸子,,,,名詞,,1人體與醫療
1-52,骨頭,gud^ teuˇ,骨頭,佢跌倒，骨頭斷撇,他跌倒，骨頭斷了。,,名詞,,1人體與醫療
1-53,人,nginˇ,人,厥屋家有五個人,他家有五個人。,,名詞,,1人體與醫療
2-1,飽,bau^,飽,食飽夜來去散步好無？,吃完晚餐後去散步好嗎？,,形容詞,,2心理活動與感覺
2-2,拚,biangˋ,賣力、拼,肯拚斯會出頭天,肯打拼就會出頭天。,,動詞,,2心理活動與感覺
2-3,發夢,bud^ mungˋ,做夢,昨暗晡發夢拉尿，還見笑,昨天晚上做夢尿床，很丟臉。,,動詞,,2心理活動與感覺
2-4,插,cab^,插；理會,"盎插核一蕊花
動啊着斯譴，莫插佢！","瓶子插著一朵花。
動不動就生氣，不要理他！",,動詞,,2心理活動與感覺
2-5,試着（測着）,chiˋ do^ (zed^ do^),認為、覺得,𠊎試着這麵包當好食,我覺得這個麵包很好吃。,,動詞,,2心理活動與感覺
2-6,著驚,chogˋ giang+,受驚嚇,佢喊恁大聲，害𠊎著驚,他喊那麼大聲，害我受驚。,,動詞,,2心理活動與感覺
2-7,知,di+,知道,下禮拜愛考試，你知無？,下星期要考試，你知道嗎？,,動詞,,2心理活動與感覺
2-8,起譴,ki^  kien^,發怒,佢自家走出去尞歸日，阿姆起譴咧,他自己出去玩一天，媽媽生氣了！,,動詞,,2心理活動與感覺
2-9,歡喜,fan+ hi^,歡喜,買一個等路送佢，分佢歡喜一下,買一個伴手禮送他，讓他高興一下。,,名詞,,2心理活動與感覺
2-10,放心,fongˋ sim+,放心,心肝肚毋放心,心裡不放心。,,形容詞,,2心理活動與感覺
2-11,敢,gam^,敢；有膽量、不畏懼,"暗晡頭自家去便所，敢抑毋敢？
厥該張嘴當敢講","晚上自己去廁所，敢不敢？
他那張嘴很敢講。",,動詞,形容詞,2心理活動與感覺
2-12,感覺,gam^ gog^,感覺,"你講佢怪怪？𠊎仰脣感覺毋出
轉寒咧！你無感覺係無？","你說他怪怪的？我怎麼感覺不出來。
變冷了！你不覺得嗎？",,動詞,,2心理活動與感覺
2-13,記得,giˋ ded^,記得,恁久無來，你還記得路無？,這麼久沒來，你還記得路嗎？,,動詞,,2心理活動與感覺
2-14,紀念,giˋ ngiamˋ,紀念,這東西當有紀念價值,這東西很有紀念價值。,,動詞,,2心理活動與感覺
2-15,驚,giang+,害怕,佢盡驚蛇哥,他很怕蛇。,,動詞,,2心理活動與感覺
2-16,見笑,gienˋ siauˋ,不好意思；慚愧,"佢滿哪借錢，試着當見笑
分先生罵還緊笑，毋知見笑","他到處借錢，覺得很不好意思。
被老師罵還一直笑，不知羞恥。",,動詞,,2心理活動與感覺
2-17,緊張,gin^ zhong+,緊張,"毋使恁緊張
緊張都舌嫲打結","不用那麼緊張
緊張到舌頭打結",,副詞,,2心理活動與感覺
2-18,好,hauˋ,喜好、喜歡,阿爹盡好食腹內,祖父最喜歡吃內臟。,,動詞,,2心理活動與感覺
2-19,恨,henˋ,恨,這種無責任感个人，你恨佢乜無用！,這種毫無責任感的人，你恨他也沒用！,,動詞,,2心理活動與感覺
2-20,幸福,henˋ fug^,幸福,佢過着當幸福个日,他過著很幸福的日子,,形容詞,,2心理活動與感覺
2-21,肯,hen^,肯、願意,這擺旅行，若姆肯分你去無？,這次旅行，你媽肯讓你去嗎？,,動詞,,2心理活動與感覺
2-22,希望,hi+ mongˋ,希望,"新年新希望
希望你尋着好頭路","新年新希望
希望你找到好工作。",,動詞,,2心理活動與感覺
2-23,興趣,hinˋ ciˋ,興趣,佢對數學當有興趣,他對數學很有興趣。,,名詞,,2心理活動與感覺
2-24,精神,zin+ shinˇ,精神,"看起來已精神
歸暗晡無睡，佢精神無已好","看起來很有精神
整晚沒睡，他精神很不好。",,形容詞,名詞,2心理活動與感覺
2-25,輕鬆,kiang+ sung+,輕鬆,厥頭路當輕鬆,他的工作很輕鬆。,,形容詞,,2心理活動與感覺
2-26,譴,kien^,生氣,"老弟毋聽話，阿姆當譴
厥面臭臭，毋知在譴麼个？","弟弟不聽話，媽媽很生氣。
他臉色不好，不知道在生氣什麼？",,形容詞,動詞,2心理活動與感覺
2-27,確定,kog^ tinˋ,明確而肯定,你愛先確定正同𠊎講,你要先確定再跟我說。,,動詞,,2心理活動與感覺
2-28,匱,kuaiˇ,窮苦,厥屋家當匱,他的家裡很貧窮。,,形容詞,,2心理活動與感覺
2-29,快樂（樂暢）,kuaiˋ logˋ (logˋ tiongˋ),快樂,"快樂過日
逐日都當快樂","快樂過日子
每天都很快樂",,形容詞,,2心理活動與感覺
2-30,理想,li+ siong^,理想,"佢有當高个人生理想
佢這擺个成績毋理想","他有很遠大的人生理想。
他這次的成績不理想。",,名詞,形容詞,2心理活動與感覺
2-31,毋記得,mˇ giˋ ded^,不記得、忘記,壞咧！吾錢毋記得帶着！,糟了！我的錢忘記帶了！,,動詞,,2心理活動與感覺
2-32,毋肯,mˇ hen^,不肯,阿奶毋肯𠊎緊食糖，驚牙齒會蛀撇,祖母不肯讓我一直吃糖果，怕會蛀牙。,,動詞,,2心理活動與感覺
2-33,毋怕,mˇ paˋ,不要緊、沒關係,這到無考好毋怕啦，下次擺加油斯好,這次沒考好不要緊啦，下次加油就好。,,副詞,,2心理活動與感覺
2-34,毋識,mˇ shid^,不認得；不曾,"十外年正見一到，這下佢毋識你咧
食恁遽做麼个？毋識食過係無？","十多年才見一次，現在他都不認得你了。
吃這麼快幹麼？不曾吃過嗎？",,動詞,副詞,2心理活動與感覺
2-35,毋知,mˇ di+,不知道,逐擺都恁泥，搞都毋知好轉,每次都這樣，玩到不知道回家。,,動詞,,2心理活動與感覺
2-36,無愛,moˇ oiˋ/moiˊ,不要,佢恁魯夫，無愛同佢尞較好,他那麼不講理，不要跟他玩比較好。,,動詞,,2心理活動與感覺
2-37,惱,nau+,討厭,佢盡惱黃蚻，尤其係會飛个,他非常討厭蟑螂，尤其是會飛的。,,動詞,,2心理活動與感覺
2-38,忍,ngiun+,忍,你斯愛忍核,你可要忍住,,動詞,,2心理活動與感覺
2-39,餓,ngoˋ,餓,"準講日過來苦，乜毋會分你餓着
兩三日無食東西，佢斯餓死","就算日子苦，也不會讓你挨餓。
兩三天沒吃東西，他就餓死。",,動詞,,2心理活動與感覺
2-40,愛,oiˋ,要；喜歡、愛,正餐愛食飽，莫緊食點心,正餐要吃飽，不要一直吃點心。,本讀oiˋ，口語oi+,動詞,,2心理活動與感覺
2-41,安心,on+ sim+,安心,"佢分地動嚇着，無辦法安心睡目
時間還罅，你做你安心食","他被地震嚇到，沒辦法安心睡覺。
時間還夠，你儘管安心吃。",,動詞,,2心理活動與感覺
2-42,敗勢（歪勢）,pai+ sheˋ (vai+ sheˋ),不好意思；對不起（表歉意）,"敗勢！借過一下！
正經當敗勢","不好意思！借過一下！
真的很對不起",,形容詞,,2心理活動與感覺
2-43,平安,pinˇ on+,平安,姨丈去廟項同屋家人求平安,姨丈去廟裡替家人祈求平安。,,形容詞,名詞,2心理活動與感覺
2-44,愁,seuˇ,憂愁、擔心,佢一個人去臺北打拚，厥姆當愁,他一個人去臺北打拼，他媽媽很擔心。,,動詞,,2心理活動與感覺
2-45,識,shid^,認得；曾經,"無人識
看毋識
表阿哥識去過日本尞
目珠擘大嫲粒，毋識看過係無？","沒人認得
看不懂
表哥曾經去日本玩過。
眼睛睜那麼大，沒有看過嗎？",,動詞,副詞,2心理活動與感覺
2-46,失望,shid^ mongˋ,失望,爺哀對佢當失望,父母對他很失望。,,形容詞,,2心理活動與感覺
2-47,爽（爽快）,song^ (song^ kuaiˋ),爽、舒適,"心情當爽快
坐火車坐都當爽","心情很爽。
坐火車坐得很舒適",,形容詞,,2心理活動與感覺
2-48,傷心,shong+ sim+,傷心,狗消撇，阿古噭都十分傷心,狗死了，阿古哭得非常傷心。,,動詞,,2心理活動與感覺
2-49,貪（貪心）,tam+ (tam+ sim+),貪心,佢這人當貪，看着麼个都想愛,他這個人很貪心，看到什麼都想要。,,形容詞,,2心理活動與感覺
2-50, 𤸁（悿）,kioiˋ (tiam^),累,這駁趕事，加班當𤸁,這陣子趕工作，加班很累。,,形容詞,,2心理活動與感覺
2-51,暢,tiongˋ,高興,老妹考一百分，暢都耐毋得,妹妹考一百分，開心得不得了。,,形容詞,,2心理活動與感覺
2-52,揣,tonˇ,推測、猜測,"分你揣去準準
揣看啊！看揣得着無？","被你猜得很準
猜看看！看猜得到嗎?",,動詞,,2心理活動與感覺
2-53,心肝肚,sim+ gon+ du^,心中,阿姊愛嫁，阿姆心肝肚試着真毋盼得,姊姊要嫁人，媽媽心裡感到很捨不得。,,副詞,,2心理活動與感覺
2-54,信心,sinˋ sim+,信心,愛對自家有信心,要對自己有信心。,,名詞,,2心理活動與感覺
2-55,想,siong^,想,你想清楚，正同𠊎講,你想清楚，再跟我講。,,動詞,,2心理活動與感覺
2-56,想愛,siong^ oiˋ,想要,𠊎愛去市場，你有想愛買麼个無？,我要去市場，你有想買什麼嗎？,,動詞,,2心理活動與感覺
2-57,相信,siong+ sinˋ,相信,大家愛相信佢,大家要相信他。,,動詞,,2心理活動與感覺
2-58,中意（合意）,zhungˋ rhiˋ (gag^ rhiˋ),喜歡,𠊎當中意該隻人公,我很喜歡那個人偶。,,動詞,,2心理活動與感覺
3-1,送,sungˋ,送,"這係人送个，毋係自家買个
阿爸送佢一臺鐵馬","這是別人送的，不是自己買的。
爸爸送他一輛自行車。",,動詞,,3外在活動與動作
3-2,𢱤,sung^,推,"自家个頭路，毋好𢱤分別人做
車毋會停動，你落來𢱤車","自己的工作，不要推給別人做。
車子不會動，你下來推車子。",,動詞,,3外在活動與動作
3-3,背,baˇ,背；負荷；將衣服套在身上,"背細人去散步
天時恁熱，你背恁多衫做麼个？","背小孩去散步
天氣那麼熱，你套那麼多衣服幹麼？",,動詞,,3外在活動與動作
3-4,飛,bui+,飛翔,鳥飛入屋肚，逐毋出去,鳥飛進房子裡，趕不出去。,,動詞,,3外在活動與動作
3-5,放,fongˋ/biongˋ,解脫約束,"這圖片放較大一屑
放佢自家去做","這張圖片放大一點。
由他自己去做",,動詞,,3外在活動與動作
3-6,放,biongˋ,放置,錢放在桌頂，你自家拿,錢放在桌上，你自己拿。,,動詞,,3外在活動與動作
3-7,扯,cha^,撕；撕破,"同這紙箱扯開來
簿分老弟扯爛爛","把這個紙箱撕開來。
簿子被弟弟撕爛。",,動詞,,3外在活動與動作
3-8,刷（鑢）,sod^ (luˋ),刷洗,用刷來刷布鞋,用刷子刷布鞋,,動詞,,3外在活動與動作
3-9,坐,co+,坐,"來啊！坐緊食飯
坐愛有坐个樣","來啊！坐下吃飯。
坐要有坐相。",,動詞,,3外在活動與動作
3-10,撞着,congˋ do^,撞到,分車撞着，好得人無仰脣,被車子撞到，還好人沒怎樣。,,動詞,,3外在活動與動作
3-11,捽,cudˋ,擦拭,同字簿捽淨來,把作業簿擦乾淨,,動詞,,3外在活動與動作
3-12,出去,chud^ kiˋ,出去,"行啊出去斯毋記得咧！
日頭恁烈，毋好出去晒日頭","剛走出去就忘記了！
陽光正烈，不要出去晒太陽。",「去」本讀kiˋ，口語ki+,動詞,,3外在活動與動作
3-13,出來,chud^ loiˇ,出來,"衫恁短，肚臍走出來咧
文章還寫毋出來","衣服那麼短，肚臍露出來了。
文章還寫不出來",,動詞,,3外在活動與動作
3-14,出入,chud^ ngibˋ,出入,"車恁多，出入愛注意
錢銀出入愛記清楚","車子這麼多，出入要注意。
錢的收支要記清楚",,動詞,,3外在活動與動作
3-15,伸,chun+,伸展,手伸較長兜,手伸長一點,,動詞,,3外在活動與動作
3-16,伸手,chun+ shiu^,伸手,佢伸手同人討錢,他伸手向人要錢,,動詞,,3外在活動與動作
3-17,打,da^,打,"打粄
打球","做粄
打球",,動詞,,3外在活動與動作
3-18,打屁卵,da^ piˋ lon^,放屁,佢食番薯，緊打屁卵,他吃地瓜，一直放屁。,,動詞,,3外在活動與動作
3-19,打開,da^ koi+ ,打開,同這包餅打開來食,把這包餅乾打開來吃,,動詞,,3外在活動與動作
3-20,帶,daiˋ,帶,"記得愛帶等路轉來
皮包毋記得帶着","記得要帶伴手禮回來。
皮包忘記帶了",,動詞,,3外在活動與動作
3-21,抵,de^,遮蔽,"用笠嫲抵核，較毋會晒着
這帽分你抵日頭","用斗笠遮著，比較不會晒到。
這帽子給你遮陽光。",,動詞,,3外在活動與動作
3-22,擲,debˋ,丟,"擲球愛細義
拚房間，麼个都擲淨淨","丟球要小心
打掃房間，什麼都丟光。",,動詞,,3外在活動與動作
3-23,等,den^,等,你在這等𠊎一下,你在這裡等我一下,,動詞,,3外在活動與動作
3-24,等下（等加下）,den^ haˋ (den^ ga+ haˋ),等一下,使得等下無?,可以等一下嗎？,,動詞,短語,3外在活動與動作
3-25,兜,deu+,端、捧,"兜人飯碗無恁簡單
看人恁無閒，還毋來𢯭兜凳","為別人工作不是簡單事。
看人這麼忙碌，還不來幫忙端椅子。",,動詞,,3外在活動與動作
3-26,跌倒,died^ do^,跌倒,行路愛細義，無會跌倒,走路要小心，不然會跌倒。,,動詞,,3外在活動與動作
3-27,擋,dong^,擋住,莫擋核人看電視啦！,不要擋住別人看電視！,,動詞,,3外在活動與動作
3-28,揞,em+,蒙住（常用於蒙住身體部位）,"你緊嗽，愛記得揞嘴
佢試着見笑，同面揞緊","你一直咳嗽，要記得蒙住嘴巴。
他覺得丟臉，把臉蒙住。",,動詞,,3外在活動與動作
3-29,發明,fad^ minˇ,發明,愛迪生發明電火,愛迪生發明電燈。,,動詞,,3外在活動與動作
3-30,分,fun+,分開、分辨,厥兩儕當相像，連同學都分毋出來,他們兩人很像，連同學都分不出來。,,動詞,數/量詞,3外在活動與動作
3-31,攪,giau+,攪拌、拌和,"攪紅毛泥。
佢食麵定著愛攪辣醬。","攪拌水泥。
他吃麵一定要拌辣椒醬。",,動詞,,3外在活動與動作
3-32,交,gau+,繳交,"
下禮拜一愛記得交作業",下星期一要記得交作業。,,動詞,,3外在活動與動作
3-33,弇,giemˇ,蓋上、蓋起來（動詞）,"鑊蓋弇起來，熻一下
恁多烏蠅，遽同桌項个蓮霧弇緊","鍋蓋蓋起來，燜煮一下。
這麼多蒼蠅，快把桌上的蓮霧蓋起來。",,動詞,,3外在活動與動作
3-34,噭,gieuˋ,哭、哭泣,厥心肝肚艱苦，在間項噭都無聲,他心裡難受，在房裡泣不成聲。,,動詞,,3外在活動與動作
3-35,根據,gin+ ki^,根據,"根據政府个公告，天光日放尞
莫講這無根據个事情。","根據政府的公告，明天放假。
別說這種沒有根據的事情。",gin+ gi^ 亦可,動詞,,3外在活動與動作
3-36,逐,giug^ ,追趕,"雞分狗逐都緊飛
時間吂到斯緊逐，緊張麼个？
烏蠅逐都逐毋走，還得人惱","雞被狗追到一直飛。
時間還沒到就一直趕，緊張什麼？
蒼蠅趕都趕不走，真討厭。",,動詞,,3外在活動與動作
3-37,過去,goˋ kiˋ,過去,"直直行過去斯到厥屋家咧！
巴掌嫲盪過去","直直走過去就到他家了！
一巴掌打過去",,動詞,,3外在活動與動作
3-38,過來,goˋ loiˇ,過來,"定定行過來，毋好用走
同該張凳徙過來放","慢慢走過來，不要用跑的。
把那張椅子移過來放。",,動詞,,3外在活動與動作
3-39,割,god^,割,"分刀割着
割豬肉","被刀子割到
買豬肉",,動詞,,3外在活動與動作
3-40,蓋,goiˋ,覆蓋,阿姆同老弟蓋被,媽媽幫弟弟蓋被子。,,動詞,名詞,3外在活動與動作
3-41,講,gong^,講、說,"你在該講麼个？𠊎完全聽毋識
你會講客無？","你在說什麼？我完全聽不懂。
你會講客語嗎？",,動詞,,3外在活動與動作
3-42,講話（講事）,gong^ faˋ (gong^ siiˋ),說話,毋好亂講話,不要亂講話,,動詞,,3外在活動與動作
3-43,扛,gong+,抬；合力,"你兩儕，同這桶扛出去
兩儕扛緊來做，較遽做好","你們兩個，把這個桶子抬出去。
兩個人合力一起做，比較快做好。",,動詞,,3外在活動與動作
3-44,跍,gu+,蹲,"跍核洗衫當辛苦
跍恁久，腳痺撇咧！","蹲著洗衣服很辛苦。
蹲那麼久，腳麻掉了！",,動詞,,3外在活動與動作
3-45,關,guan+,關,外背蚊恁多，門愛關好來,外面蚊子那麼多，門要關好。,,動詞,,3外在活動與動作
3-46,落來,logˋ loiˇ,下來,"地動當搖，圍牆橫落來
麼个東西跌落來?恁大聲","地震搖得很厲害，圍牆倒下來。
什麼東西掉下來？那麼大聲。",,動詞,,3外在活動與動作
3-47,落去,logˋ ki+,下去,"企較後背兜，無會跌落去
這位有個空佢無看着，腳斯漯落去","站後面一點，不然會跌下去。
這有個洞他沒看到，腳就陷下去。",,動詞,,3外在活動與動作
3-48,行,hangˇ,行走,"緊行緊看
行來行去","邊走邊看
走來走去",,動詞,,3外在活動與動作
3-49,行路,hangˇluˋ,走路,老弟逐日行路去讀書,弟弟每天走路去上學。,,動詞,,3外在活動與動作
3-50,喊,hem+,叫,食飽咧！喊阿哥落來洗碗,吃飽了！叫哥哥下來洗碗。,,動詞,,3外在活動與動作
3-51,去,kiˋ,去,"佢又瀉去哪？
阿哥逐禮拜去圖書館讀書","他又跑去哪裡？
哥哥每星期去圖書館讀書。",,動詞,,3外在活動與動作
3-52,起來,ki^ loiˇ,起來,"看着垃圾，愛拈起來
你毋係愛睡目？做麼又起來？","看到垃圾，要撿起來。
你不是要睡覺？怎麼又爬起來？",,動詞,,3外在活動與動作
3-53,挾,giabˋ,挾取,阿姆挾菜分老弟食,媽媽挾菜給弟弟吃。,,動詞,,3外在活動與動作
3-54,歇睏（休息）,hied^ kunˋ (hiu+ sid^),休息,當晝愛歇睏一點鐘,中午要休息一小時。,,動詞,,3外在活動與動作
3-55,畜,hiug^,畜養,"畜狗
𠊎毋敢畜魚，驚畜毋生","養狗
我不敢養魚，怕養不活。",,動詞,,3外在活動與動作
3-56,䟘,hongˋ,起身、起來,先生喊你，你斯愛企䟘來,老師喊你，你就要站起來。,,動詞,,3外在活動與動作
3-57,舀,rheu^,舀,"舀一杓水來，𠊎愛淋菜
係講愛食，斯愛自家舀","舀一杓水來，我要澆菜。
如果要吃，就要自己舀。",,動詞,,3外在活動與動作
3-58,有,rhiu+,有,"厥屋家有四個人
豬有四隻腳
有食着斯好","他家有四個人。
豬有四隻腳。
有吃到就好",,動詞,,3外在活動與動作
3-59,用,rhungˋ,使用、利用,阿太還毋會用手機,曾祖父（母）還不會用手機。,,動詞,,3外在活動與動作
3-60,接,ziab^,接,"電話響咧！你去接下好無？
你有閒無？敢使得同𠊎接細人？","電話響了！你去接一下好嗎？
你有空嗎？可以幫我接小孩嗎？",,動詞,,3外在活動與動作
3-61,浸,zimˋ,浸泡,"衫褲先浸緊，天光朝晨（朝脣）正洗
熱天搞水愛細義，係浸著斯無結煞哦！","衣服先浸泡，明天早上再洗。
夏天玩水要注意，要是溺水可就麻煩大了！",,動詞,,3外在活動與動作
3-62,㧡,kai+,以肩擔、挑,㧡菜去市場賣,挑菜去市場賣,,動詞,,3外在活動與動作
3-63,敲,kauˋ,敲,敲麼个東西？敲都恁大聲,敲什麼東西？敲得那麼大聲。,,動詞,,3外在活動與動作
3-64,企,ki+,站,"
在這企緊等，𠊎等下來載你",站在這裡等，我等一下來載你。,,動詞,,3外在活動與動作
3-65,擎,kiaˇ,舉；拿（傘、筆）,"擎手
擎筆
擎钁頭","舉手
拿筆
拿鋤頭",,動詞,,3外在活動與動作
3-66,牽,kien+,牽,"渡細人過大路，手愛牽好來。
牽手。","帶小孩子過大馬路，手要牽好。
牽手。",,動詞,,3外在活動與動作
3-67,開,koi+,開,門開開，毋驚賊入來係無？,門開著，不怕小偷進來嗎？,,動詞,,3外在活動與動作
3-68,看,konˋ,看；探望,"敗勢！𠊎看毋著咧！你寫个正著。
破病愛分先生看
去院項看佢","抱歉！我看錯了！你寫的才對。
生病要看醫生
去醫院探望他",,動詞,,3外在活動與動作
3-69,囥,kongˋ,藏匿,奇怪，囥到哪去？尋恁久還尋毋着。,奇怪，藏到哪裡了？找那麼久還是找不到。,,動詞,,3外在活動與動作
3-70,擐,kuanˋ,提,"擐皮包
這恁重，麼人擐得贏","提皮包
這那麼重，誰提得動。",,動詞,,3外在活動與動作
3-71,跪,kui^,跪下,"佢跪在地泥下緊噭
佢跪落來請大家原諒。","他跪在地上一直哭。
他跪下來請求大家原諒。",,動詞,,3外在活動與動作
3-72,拉,lai+,拉,"𠊎企毋起來，你來拉𠊎一下
頭家請人來拉生理","我站不起來，你來拉我一下。
老闆請人來招攬生意。",,動詞,,3外在活動與動作
3-73,撈,leuˇ,撈,"同水餃撈起來放盤裡肚
去夜市撈魚","把水餃撈起來放盤子裡。
去夜市撈魚",,動詞,,3外在活動與動作
